State,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Preliminary Total Turnout Estimate,Status,Source,Preliminary Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,"112,143,104",,,46.80%,"239,470,150","258,310,278",7.50%,"1,030,407","1,153,867","448,894","448,894","3,129,152",
Alabama,"1,419,718",,https://www2.alabamavotes.gov/electionnight/statewideResultsByContest.aspx?ecode=1001160,37.70%,"3,761,726","3,918,115",2.30%,"25,328","32,711","8,245","8,245",,AL
Alaska,"266,573",,https://www.elections.alaska.gov/election-results/,50.70%,"525,926","552,585",3.50%,"4,578","1,682","1,003","1,003",,AK
Arizona,"2,592,312",,https://azsos.gov/elections,49.40%,"5,242,848","5,790,703",7.90%,"34,997","50,333","6,887","6,887",,AZ
Arkansas,"914,143",,https://results.enr.clarityelections.com/AR/115767/web.307039/#/summary,41.90%,"2,179,339","2,333,413",3.60%,"15,850","27,511","25,852","25,852",,AR
California,"11,224,989",,https://electionresults.sos.ca.gov/,43.80%,"25,606,079","30,079,178",14.60%,"90,000",0,0,0,,CA
Colorado,"2,540,680",,https://results.enr.clarityelections.com/CO/115903/web.307039/#/summary,58.50%,"4,346,493","4,631,586",5.80%,"14,990",0,0,0,,CO
Connecticut,"1,297,801",,https://ctemspublic.pcctg.net/#/home,48.90%,"2,654,963","2,882,991",7.60%,"9,297",0,0,0,,CT
Delaware,"325,632",Official,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2022,43.20%,"753,981","807,407",5.10%,"4,653","7,004",373,373,,DE
District of Columbia,"205,746",Pre-certified,https://electionresults.dcboe.org/election_results/2022-General-Election,43.60%,"472,089","511,206",7.70%,0,0,0,0,,DC
Florida,"7,796,916",Official,https://floridaelectionwatch.gov/Home,49.40%,"15,798,038","17,654,638",9.40%,"75,977","123,920","4,280","4,280",,FL
Georgia,"3,964,926",Official,https://results.enr.clarityelections.com/GA/115465/web.307039/#/summary,52.60%,"7,539,404","8,333,920",5.90%,"44,796","235,589","19,447","19,447",,GA
Hawaii,"419,363",Final,https://elections.hawaii.gov/election-results/,41.10%,"1,021,381","1,117,153",8.20%,"4,097",0,0,0,,HI
Idaho,"591,000",,https://www.livevoterturnout.com/ENR/idaho/124/1/en/Index_124.html,42.30%,"1,398,584","1,491,094",4.00%,"7,996","18,918","5,967","5,967",,ID
Illinois,"4,400,000",,,49.30%,"8,927,095","9,728,273",7.90%,"28,582",0,0,0,,IL
Indiana,"2,522,298",,https://enr.indianavoters.in.gov/site/index.html,50.10%,"5,032,326","5,247,139",3.60%,"23,458",0,0,0,,IN
Iowa,"1,230,416",,https://electionresults.iowa.gov/IA/115641/web.307039/#/summary,52.30%,"2,354,452","2,463,743",3.10%,"8,128","17,139","7,261","7,261",,IA
Kansas,"1,000,000",,https://ent.sos.ks.gov/kssos_ent.html,47.50%,"2,104,674","2,233,867",4.70%,"8,477","10,953","5,428","5,428",,KS
Kentucky,"1,420,000",,https://vrsws.sos.ky.gov/liveresults/,42.50%,"3,344,006","3,503,703",2.50%,"18,433","38,267","14,429","14,429",,KY
Louisiana,"1,400,000",,https://voterportal.sos.la.gov/graphical,41.90%,"3,340,788","3,509,697",2.90%,"26,851","19,250","21,566","21,566",,LA
Maine,"680,000",,https://www.maine.gov/sos/cec/elec/results/index.html,61.40%,"1,107,821","1,131,275",1.90%,"1,688",0,0,0,,ME
Maryland,"2,000,000",,https://elections.maryland.gov/elections/2022/general_results/county_status_page_root.html,45.40%,"4,401,227","4,787,556",8.10%,0,0,0,0,,MD
Massachusetts,"2,500,000",,https://electionstats.state.ma.us/,49.30%,"5,075,356","5,578,715",8.90%,"5,993",0,0,0,,MA
Michigan,"4,475,000",,https://mielections.us/election/results/2022GEN_CENR.html,59.00%,"7,588,158","7,879,117",3.30%,"33,246",0,0,0,,MI
Minnesota,"2,525,873",,https://electionresults.sos.state.mn.us/20221108,61.00%,"4,140,218","4,390,666",4.00%,"7,681","58,825","7,359","7,359",,MN
Mississippi,"800,000",,,37.10%,"2,155,904","2,235,296",1.40%,"17,569","20,027","10,510","10,510",,MS
Missouri,"2,075,000",,https://enr.sos.mo.gov/,45.00%,"4,612,536","4,792,183",2.30%,"22,890","26,737","20,729","20,729",,MO
Montana,"468,326",,https://electionresults.mt.gov/,53.60%,"873,593","889,551",1.40%,"3,910",0,0,0,,MT
Nebraska,"681,569",,https://electionresults.nebraska.gov/,48.60%,"1,401,297","1,485,801",4.70%,"5,071","7,903","1,156","1,156",,NE
Nevada,"1,023,617",,https://silverstateelection.nv.gov/,46.30%,"2,212,417","2,479,288",10.30%,"10,455",0,0,0,,NV
