state,state_abv,year,abortion_restricted,threshold
Alabama,AL,2018,1,20 weeks post-fertilization (22 weeks LMP)
Alabama,AL,2018,1,Fetal viability
Alabama,AL,2019,1,20 weeks post-fertilization (22 weeks LMP)
Alabama,AL,2019,1,Fetal viability
Alabama,AL,2019,1,Conception
Alabama,AL,2022,1,Conception
Alaska,AK,2018,0,None
Alaska,AK,2022,0,None
Arizona,AZ,2018,1,18 weeks post-fertilization (20 weeks LMP)
Arizona,AZ,2018,1,Fetal viability
Arizona,AZ,2021,1,18 weeks post-fertilization (20 weeks LMP)
Arizona,AZ,2021,1,Fetal viability
Arizona,AZ,2022,1,Fetal viability
Arkansas,AR,2018,1,Fetal heartbeat detected
Arkansas,AR,2018,1,20 weeks post-fertilization (22 weeks LMP)
Arkansas,AR,2018,1,Fetal viability
Arkansas,AR,2019,1,Fetal heartbeat detected
Arkansas,AR,2019,1,20 weeks post-fertilization (22 weeks LMP)
Arkansas,AR,2019,1,Fetal viability
Arkansas,AR,2019,1,16 weeks post-fertilization (18 weeks LMP)
Arkansas,AR,2020,1,Fetal heartbeat detected
Arkansas,AR,2020,1,16 weeks post-fertilization (18 weeks LMP)
Arkansas,AR,2020,1,20 weeks post-fertilization (22 weeks LMP)
Arkansas,AR,2020,1,Fetal viability
Arkansas,AR,2021,1,Fetal heartbeat detected
Arkansas,AR,2021,1,16 weeks post-fertilization (18 weeks LMP)
Arkansas,AR,2021,1,20 weeks post-fertilization (22 weeks LMP)
Arkansas,AR,2021,1,Fetal viability
Arkansas,AR,2021,1,Conception
Arkansas,AR,2022,1,Conception
California,CA,2018,1,Fetal viability
California,CA,2022,1,Fetal viability
Colorado,CO,2018,0,None
Colorado,CO,2022,0,None
Connecticut,CT,2018,1,Fetal viability
Connecticut,CT,2018,1,3rd trimester
Connecticut,CT,2022,1,Fetal viability
Delaware,DE,2018,1,Fetal viability
Delaware,DE,2021,1,Fetal viability
Delaware,DE,2022,1,Fetal viability
District of Columbia,DC,2018,0,None
District of Columbia,DC,2022,0,None
Florida,FL,2018,1,Fetal viability
Florida,FL,2018,1,3rd trimester
Florida,FL,2020,1,Fetal viability
Florida,FL,2020,1,3rd trimester
Florida,FL,2022,1,13 weeks post-fertilization (15 weeks LMP)
Georgia,GA,2018,1,20 weeks post-fertilization (22 weeks LMP)
Georgia,GA,2018,1,3rd trimester
Georgia,GA,2019,1,20 weeks post-fertilization (22 weeks LMP)
Georgia,GA,2019,1,3rd trimester
Georgia,GA,2020,1,Fetal heartbeat detected
Georgia,GA,2020,1,3rd trimester
Georgia,GA,2022,1,6 weeks post-fertilization (8 weeks LMP)
Hawaii,HI,2018,0,None
Hawaii,HI,2022,1,Fetal viability
Idaho,ID,2018,1,20 weeks post-fertilization (22 weeks LMP)
Idaho,ID,2019,1,20 weeks post-fertilization (22 weeks LMP)
Idaho,ID,2020,1,20 weeks post-fertilization (22 weeks LMP)
Idaho,ID,2021,1,20 weeks post-fertilization (22 weeks LMP)
Idaho,ID,2022,1,Conception
Illinois,IL,2018,1,Fetal viability
Illinois,IL,2019,1,Fetal viability
Illinois,IL,2022,1,Fetal viability
Indiana,IN,2018,1,20 weeks post-fertilization (22 weeks LMP)
Indiana,IN,2018,1,Fetal viability
Indiana,IN,2019,1,20 weeks post-fertilization (22 weeks LMP)
Indiana,IN,2019,1,Fetal viability
Indiana,IN,2021,1,20 weeks post-fertilization (22 weeks LMP)
Indiana,IN,2021,1,Fetal viability
Indiana,IN,2022,1,20 weeks post-fertilization (22 weeks LMP)
Iowa,IA,2018,1,Fetal heartbeat detected
Iowa,IA,2018,1,20 weeks post-fertilization (22 weeks LMP)
Iowa,IA,2018,1,3rd trimester
Iowa,IA,2019,1,Fetal heartbeat detected
Iowa,IA,2019,1,19 weeks post-fertilization (21 weeks LMP)
Iowa,IA,2019,1,20 weeks post-fertilization (22 weeks LMP)
Iowa,IA,2019,1,3rd trimester
Iowa,IA,2022,1,20 weeks post-fertilization (22 weeks LMP)
Kansas,KS,2018,1,20 weeks post-fertilization (22 weeks LMP)
Kansas,KS,2018,1,Fetal viability
Kansas,KS,2019,1,20 weeks post-fertilization (22 weeks LMP)
Kansas,KS,2019,1,Fetal viability
Kansas,KS,2022,1,18 weeks post-fertilization (20 weeks LMP)
Kentucky,KY,2018,1,20 weeks post-fertilization (22 weeks LMP)
Kentucky,KY,2018,1,Fetal viability
Kentucky,KY,2019,1,Fetal heartbeat detected
Kentucky,KY,2019,1,20 weeks post-fertilization (22 weeks LMP)
Kentucky,KY,2019,1,Fetal viability
Kentucky,KY,2020,1,Fetal heartbeat detected
Kentucky,KY,2020,1,20 weeks post-fertilization (22 weeks LMP)
Kentucky,KY,2020,1,Fetal viability
Kentucky,KY,2022,1,Conception
Louisiana,LA,2018,1,20 weeks post-fertilization (22 weeks LMP)
Louisiana,LA,2018,1,Fetal viability
Louisiana,LA,2019,1,20 weeks post-fertilization (22 weeks LMP)
Louisiana,LA,2019,1,Fetal viability
Louisiana,LA,2022,1,Conception
Maine,ME,2018,1,Fetal viability
Maine,ME,2019,1,Fetal viability
Maine,ME,2022,1,Fetal viability
Maryland,MD,2018,1,Fetal viability
Maryland,MD,2022,1,Fetal viability
Massachusetts,MA,2018,1,24 weeks post-fertilization (26 weeks LMP)
Massachusetts,MA,2020,1,24 weeks post-fertilization (26 weeks LMP)
Massachusetts,MA,2022,1,24 weeks post-fertilization (26 weeks LMP)
Michigan,MI,2018,0,None
Michigan,MI,2022,1,Fetal viability
