"state","state_abv","abstatus18","abstatus22","turnout_estimate2022","turnout_estimate2018","turnout_estimate_difference","turnout_rate2022","turnout_rate2018","turnout_rate_difference","voting_eligible_pop2022","voting_eligible_pop2018","voting_eligible_difference","voting_age_pop2022","voting_age_pop2018","voting_age_difference","clinicdistance_jun","clinicdistance_jul","dist_change"
"Alabama","AL",1,1,1419718,1721906,-302188,0.377411363329641,0.469630650842936,-0.0922192875132947,3761725.634,3666511.11231638,95214.5216836189,3918115,3820544.212,97570.7880000002,65.7609748791045,130.753395886567,64.9924210074627
"Alaska","AK",0,0,266573,285009,-18436,0.506863937820478,0.548186122949583,-0.0413221851291048,525926.1512,519912.832646099,6013.31855390128,552585,551450.6481,1134.35190000001,231.294959213793,231.294959213793,0
"Arizona","AZ",1,1,2592312,2409910,182402,0.494447266362627,0.474193322522478,0.0202539438401483,5242848.28,5082125.54993488,160722.730065118,5790703,5678478.966,112224.034,87.2178985373333,129.586798397333,42.36889986
"Arkansas","AR",1,1,914143,898793,15350,0.41945874987872,0.413005401239172,0.00645334863954711,2179339.447,2176225.77647479,3113.67052521044,2333413,2321029.421,12383.5789999999,95.839430332,152.625906133333,56.7864758013333
"California","CA",1,1,11224989,12712542,-1487553,0.438372043254459,0.493070759275079,-0.0546987160206199,25606078.61,25782388.756312,-176310.146311965,30079178,30659000.3,-579822.300000001,28.8331986655172,28.8331986655172,0
"Colorado","CO",0,0,2540680,2583580,-42900,0.584535572556834,0.613558077732252,-0.0290225051754189,4346493.386,4210815.72187765,135677.664122347,4631586,4523288.63,108297.37,77.048328278125,80.398810371875,3.35048209375
"Connecticut","CT",1,1,1297801,1421953,-124152,0.488820656471413,0.54750853680138,-0.0586878803299662,2654963.498,2597133.93385105,57829.564148949,2882991,2838275.126,44715.8739999998,10.9209095875,10.9209095875,0
"Delaware","DE",1,1,325632,365467,-39835,0.431883343356052,0.51201574634783,-0.0801324029917781,753981.3818,713780.782342826,40200.5994571743,807407,772849.5959,34557.4041,8.84998286666667,8.84998286666667,0
"District of Columbia","DC",0,0,205746,231482,-25736,0.435820483192992,0.437121250292597,-0.00130076709960536,472088.8713,529560.161728702,-57471.2904287019,511206,578702.0667,-67496.0667,1.0538455,1.0538455,0
"Florida","FL",1,1,7796916,8318824,-521908,0.493536976002501,0.542541435738119,-0.0490044597356172,15798038.2,15333066.6600282,464971.539971761,17654638,17321691.3,332946.699999999,45.1210359835821,45.6415873268657,0.520551343283582
"Georgia","GA",1,1,3964926,3949905,15021,0.525893815039702,0.540856443907337,-0.014962628867635,7539404.128,7303056.18892972,236347.93907028,8333920,8148933.483,184986.517,61.5636403830189,69.6622718754717,8.09863149245283
"Hawaii","HI",0,1,419363,398657,20706,0.41058449733359,0.394881408153504,0.0157030891800861,1021380.502,1009561.3309934,11819.1710065992,1117153,1115619.596,1533.4040000001,53.74214174,53.74214174,0
"Idaho","ID",1,1,591000,612536,-21536,0.422570342280054,0.485896570118579,-0.0633262278385252,1398583.717,1260630.42562847,137953.291371526,1491094,1350318.792,140775.208,71.9735660159091,71.9735660159091,0
"Illinois","IL",1,1,4400000,4635541,-235541,0.492881504210402,0.515110406135728,-0.0222289019253261,8927094.976,8999121.24621021,-72026.270210214,9728273,9848646.79,-120373.789999999,59.9328595735294,60.5387575539216,0.605897980392157
"Indiana","IN",1,1,2522298,2308258,214040,0.501219149232457,0.465345780281035,0.0358733689514219,5032325.688,4960307.14752797,72018.5404720297,5247139,5176820.351,70318.6490000002,48.8162648601087,48.8162648601087,0
"Iowa","IA",1,1,1230416,1334279,-103863,0.522591288553879,0.579207842620522,-0.0566165540666425,2354451.8,2303627.30235712,50824.4976428789,2463743,2431107.405,32635.5950000002,62.7999215037374,63.4123801906061,0.612458686868687
"Kansas","KS",1,1,1e+06,1060000,-60000,0.475132940902127,0.510512376774816,-0.0353794358726885,2104674.111,2076345.35071725,28328.7602827528,2233867,2215607.533,18259.4670000002,134.40522808381,133.498943313333,-0.90628477047619
"Kentucky","KY",1,1,1420000,1612353,-192353,0.424640438855822,0.48702216674734,-0.062381727891518,3344005.587,3310635.75764605,33369.8293539505,3503703,3468415.799,35287.2009999999,90.353978025,99.599479775,9.24550175
"Louisiana","LA",1,1,1400000,1519405,-119405,0.419062759642587,0.451173987632335,-0.0321112279897486,3340788.385,3367669.77186232,-26881.3868623213,3509697,3560271.423,-50574.423,71.7815672125,71.7815672125,0
"Maine","ME",1,1,680000,646013,33987,0.613817520368422,0.599091319945544,0.0147262004228781,1107821.099,1078321.41527058,29499.6837294176,1131275,1097649.724,33625.2760000001,9.8756465,9.8756465,0
"Maryland","MD",1,1,2e+06,2335128,-335128,0.454418692488922,0.541657007793426,-0.0872383153045039,4401227.399,4311082.41267425,90144.9863257473,4787556,4715594.725,71961.2750000004,23.1428923333333,23.1428923333333,0
"Massachusetts","MA",1,1,2500000,2752665,-252665,0.492576316622502,0.546449280621104,-0.0538729639986025,5075355.667,5037365.95072698,37989.7162730247,5578715,5546390.19,32324.8099999996,27.1698104407143,27.4274575121429,0.257647071428571
"Michigan","MI",0,1,4475000,4341340,133660,0.589734724752538,0.577308779342715,0.0124259454098227,7588157.543,7519961.85636178,68195.6866382184,7879117,7849909.112,29207.8880000003,47.1944821831325,47.1944821831325,0
"Minnesota","MN",1,1,2525873,2611365,-85492,0.610082151750051,0.641517676275174,-0.0314355245251229,4140217.826,4070604.90548334,69612.9205166567,4390666,4347040.506,43625.4939999999,77.345836688046,82.9352845616092,5.58944787356322
"Mississippi","MS",1,1,8e+05,961025,-161025,0.371074081615107,0.438111387809116,-0.0670373061940094,2155903.739,2193563.15937333,-37659.4203733318,2235296,2278027.402,-42731.4019999998,81.9012318182927,87.7148795256098,5.81364770731707
"Missouri","MO",1,1,2075000,2442306,-367306,0.449860993776765,0.53288785071441,-0.0830268569376448,4612535.936,4583151.96476285,29383.9712371472,4792183,4773831.251,18351.7489999998,115.039700525217,115.492934347826,0.453233822608695
"Montana","MT",1,1,468326,509213,-40887,0.536091578300655,0.613155342530679,-0.0770637642300245,873593.2795,830479.59412426,43113.6853757402,889551,843058.2656,46492.7344,120.225217220179,120.225217220179,0
"Nebraska","NE",1,1,681569,706652,-25083,0.486384533227464,0.51471718661036,-0.0283326533828961,1401296.615,1372893.73345704,28402.881542962,1485801,1461219.957,24581.0430000001,150.64993546129,150.871818472043,0.221883010752688
"Nevada","NV",1,1,1023617,975980,47637,0.462669204654083,0.464787427075686,-0.00211822242160287,2212416.538,2099841.65479819,112574.883201813,2479288,2403374.327,75913.673,114.568420463529,114.568420463529,0
"New Hampshire","NH",0,1,626845,580568,46277,0.563019758235977,0.539685243660837,0.0233345145751401,1113362.348,1075752.96308241,37609.3849175863,1145348,1107322.451,38025.5490000001,27.74155151,27.74155151,0
"New Jersey","NJ",0,0,2650000,3248642,-598642,0.415110433121632,0.534839501631483,-0.119729068509851,6383843.403,6074050.23393054,309793.169069462,7204207,6945710.945,258496.055,9.6205422347619,9.76733378714286,0.146791552380952
"New Mexico","NM",0,0,714797,701654,13143,0.466539683708969,0.46811268636216,-0.00157300265319105,1532124.758,1498899.77443841,33224.9835615882,1646567,1624252.576,22314.4240000001,108.366928584848,109.239729493939,0.872800909090909
"New York","NY",1,1,5850000,6230959,-380959,0.426446051442848,0.4574527359922,-0.0310066845493528,13718030.64,13620989.688662,97040.9513379615,15332675,15412110.17,-79435.1699999999,16.3845963425806,16.3845963425806,0
"North Carolina","NC",1,1,3790100,3755778,34322,0.481370353554675,0.490063865759521,-0.0086935122048466,7873563.405,7663854.1676178,209709.237382198,8350523,8222687.254,127835.746,49.65978051,49.97966235,0.31988184
"North Dakota","ND",1,1,241879,330598,-88719,0.428053760184182,0.58736039487875,-0.159306634694567,565066.8736,562853.74853755,2213.12506244972,581945,582570.8317,-625.831699999981,206.676406024528,206.676406024528,0
"Ohio","OH",1,1,4275000,4496834,-221834,0.482403708714838,0.509141647715141,-0.0267379390003037,8861872.168,8832186.52447761,29685.6435223874,9139002,9119467.173,19534.8269999996,49.1856323056818,51.1106191125,1.92498680681818
"Oklahoma","OK",1,1,1153284,1190000,-36716,0.401147623550526,0.420706287683647,-0.0195586641331207,2874961.566,2828576.69314139,46384.8728586123,3040481,3011497.707,28983.2930000001,177.403372103896,217.71496461039,40.3115925064935
"Oregon","OR",0,0,1948054,1914923,33131,0.608720084969769,0.612455930980307,-0.00373584601053845,3200245.972,3126629.85716367,73616.1148363305,3399899,3364846.995,35052.0049999999,59.6057505944444,59.5444763722222,-0.061274222222222
"Pennsylvania","PA",1,1,5400000,5043029,356971,0.550226102043084,0.51748451274035,0.0327415893027335,9814147.275,9745275.2224304,68872.0525696035,10222313,10172074.49,50238.5099999998,47.2852996714925,47.2852996714925,0
"Rhode Island","RI",1,1,370000,381267,-11267,0.449078474433451,0.475375561619052,-0.0262970871856006,823909.4525,802033.235998642,21876.2165013578,885918,855526.2181,30391.7818999999,17.79507686,17.79507686,0
"South Carolina","SC",1,1,1718626,1726527,-7901,0.433769312473434,0.444770311874968,-0.0110009994015346,3962073.735,3881839.57854937,80234.1564506283,4136710,4057306.436,79403.5639999998,44.1915141695652,46.9123096043478,2.72079543478261
"South Dakota","SD",1,1,354670,341048,13622,0.542446679236905,0.531014506549429,0.0114321726874764,653833.8487,642257.406894879,11576.4418051206,681018,669422.5293,11595.4706999999,173.218347025758,218.286382530303,45.0680355045455
"Tennessee","TN",1,1,1650000,2267428,-617428,0.316048381849352,0.446933944325585,-0.130885562476233,5220719.658,5073295.57038123,147424.087618768,5487953,5337147.216,150805.784,61.5562354189474,86.1081286494737,24.5518932305263
"Texas","TX",1,1,8100000,8375000,-275000,0.424896121855122,0.455711851204438,-0.0308157293493168,19063483.01,18377841.1245286,685641.885471366,22250703,21711618.2,539084.800000001,135.59517087248,314.445769484252,178.850598611772
